Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,DeathRate,RecoveryRate,ActiveRate,TestsRate
USA,North America,331198130,5032179,162804,2576668,2292707,18296,15193,491,63139605,190639,Americas,0.032352585231964125,0.5120382243954359,0.4556091903726,0.032352585231964125
Brazil,South America,212710692,2917562,98644,2047660,771258,8318,13716,463,13206188,62085,Americas,0.03381042116671385,0.7018394124957755,0.2643501663375106,0.03381042116671385
India,Asia,1381344997,2025409,41638,1377384,606387,8944,1466,30,22149351,16034,South-EastAsia,0.02055782313596908,0.6800522758613199,0.29938990100271107,0.02055782313596908
Russia,Europe,145940924,871894,14606,676357,180931,2300,5974,100,29716907,203622,Europe,0.01675203637139377,0.775733059293905,0.20751490433470124,0.01675203637139377
South Africa,Africa,59381566,538184,9604,387316,141264,539,9063,161,3149807,53043,Africa,0.01784519792487328,0.7196720824104768,0.26248271966465003,0.01784519792487328
Mexico,North America,129066160,462690,50517,308848,103325,3987,3584,391,1056915,8188,Americas,0.10918109317253452,0.6675052410901468,0.22331366573731873,0.10918109317253452
Peru,South America,33016319,455409,20424,310337,124648,1426,13793,618,2493429,75521,Americas,0.04484759853230832,0.6814467873933102,0.2737056140743815,0.04484759853230832
Chile,South America,19132514,366671,9889,340168,16614,1358,19164,516,1760615,92022,Americas,0.026969681267403203,0.9277199451279212,0.04531037360467558,0.026969681267403203
Colombia,South America,50936262,357710,11939,192355,153416,1493,7022,234,1801835,35374,Americas,0.033376198596628555,0.537740068770792,0.42888373263257945,0.033376198596628555
Spain,Europe,46756648,354530,28500,0,0,617,7582,609,7064329,151087,Europe,0.08038811948213127,0.0,0.0,0.08038811948213127
Iran,Asia,84097623,320117,17976,277463,24678,4156,3806,213,2612763,31068,EasternMediterranean,0.05615446852244648,0.8667549677149292,0.07709056376262428,0.05615446852244648
UK,Europe,67922029,308134,46413,0,0,73,4536,683,17515234,257872,Europe,0.1506260263391901,0.0,0.0,0.1506260263391901
Saudi Arabia,Asia,34865919,284226,3055,247089,34082,1915,8151,87,3635705,104276,EasternMediterranean,0.010748488878568463,0.8693398914947964,0.11991161962663514,0.010748488878568463
Pakistan,Asia,221295851,281863,6035,256058,19770,809,1273,27,2058872,9303,EasternMediterranean,0.021411111071690858,0.9084484306205497,0.07014045830775945,0.021411111071690858
Bangladesh,Asia,164851401,249651,3306,143824,102521,0,1514,20,1225124,7431,South-EastAsia,0.013242486511169592,0.5761002359293573,0.410657277559473,0.013242486511169592
Italy,Europe,60452568,249204,35187,201323,12694,42,4122,582,7099713,117442,Europe,0.14119757307266337,0.8078642397393301,0.05093818718800661,0.14119757307266337
Turkey,Asia,84428331,237265,5798,220546,10921,580,2810,68,5081802,60190,Europe,0.02443681116051672,0.9295344867553158,0.04602870208416749,0.02443681116051672
Argentina,South America,45236884,228195,4251,99852,124092,1150,5044,93,794544,17564,Americas,0.018628804312101493,0.4375731282455794,0.5437980674423191,0.018628804312101493
Germany,Europe,83811260,215210,9252,196200,9758,236,2567,110,8586648,102452,Europe,0.04299056735281818,0.9116676734352492,0.04534175921193253,0.04299056735281818
France,Europe,65288306,195633,30312,82460,82861,384,2996,464,3992206,61147,Europe,0.15494318443207433,0.4215035295681199,0.42355328599980574,0.15494318443207433
